Team,GoalsScoredAvg,GoalsConcededAvg,PPG,ELO
Morocco,1.71,0.14,2.43,1243.0
Mali,0.6,0.8,0.8,1080.0
Egypt,1.29,0.71,2.0,1200.0
Senegal,1.71,0.71,2.29,1229.0
Nigeria,2.0,0.57,2.43,1243.0
Algeria,1.6,0.6,2.4,1240.0
Ivory Coast,2.0,1.2,2.0,1200.0
Cameroon,1.2,1.0,2.0,1200.0
KuPS,0.75,1.12,1.25,1125.0
Milsami Orhei,0.83,1.17,1.33,1133.0
Malmo FF,1.46,1.21,1.52,1152.0
FC Noah,1.38,1.44,1.44,1144.0
FC Levadia Tallinn,1.17,1.5,1.17,1117.0
Rīgas FS,2.32,1.06,2.18,1218.0
Olimpija Ljubljana,1.62,1.88,1.12,1112.0
Kairat Almaty,0.88,1.62,0.81,1081.0
Shkendija,0.81,1.44,1.25,1125.0
Lincoln Red Imps FC,1.0,2.36,1.07,1107.0
Drita,1.12,1.62,1.25,1125.0
FC Differdange 03,1.25,1.38,1.12,1112.0
Egnatia Rrogozhinë,1.0,1.5,1.67,1167.0
Breidablik,1.36,1.79,1.07,1107.0
Virtus,1.33,2.0,0.5,1050.0
Zrinjski,1.12,1.5,1.25,1125.0
Hamrun Spartans,0.79,1.86,0.71,1071.0
FCSB,1.56,1.69,1.25,1125.0
Ludogorets,1.39,1.5,1.39,1139.0
Shelbourne,0.71,1.21,1.07,1107.0
Linfield,0.88,1.12,1.0,1100.0
FK Crvena Zvezda,1.25,0.81,1.75,1175.0
Ferencvarosi TC,1.67,1.44,1.89,1189.0
FC Copenhagen,1.73,1.52,1.43,1142.0
Plzen,1.55,1.07,1.71,1171.0
Servette FC,1.62,1.74,1.13,1113.0
Pafos,1.14,1.0,1.64,1164.0
Maccabi Tel Aviv,0.79,2.0,0.79,1079.0
Dynamo Kyiv,1.42,1.25,1.25,1125.0
Slovan Bratislava,1.82,1.28,1.77,1177.0
Lech Poznan,1.94,1.44,1.81,1181.0
Rangers,0.93,1.86,0.79,1079.0
Panathinaikos,1.0,1.11,1.33,1133.0
HNK Rijeka,1.06,1.06,1.44,1144.0
Brann,1.19,1.25,1.19,1119.0
Red Bull Salzburg,1.73,1.33,1.44,1144.0
Qarabag,1.94,2.19,1.56,1156.0
Club Brugge KV,2.11,1.43,2.0,1200.0
Nice,1.05,1.92,0.79,1079.0
Benfica,1.79,0.77,2.05,1205.0
Feyenoord,1.93,1.55,1.6,1160.0
Fenerbahçe,1.95,1.02,1.98,1198.0
Celtic,1.25,1.58,1.33,1133.0
Bodo/Glimt,2.0,1.71,1.5,1150.0
Sturm Graz,1.44,1.21,1.65,1165.0
FC Basel 1893,1.43,1.38,1.43,1143.0
PSV Eindhoven,2.63,1.47,2.16,1216.0
Union St. Gilloise,1.5,0.85,2.02,1202.0
Athletic Club,1.08,1.51,1.18,1118.0
Arsenal,2.02,0.66,2.32,1232.0
Tottenham,1.48,1.55,1.19,1119.0
Villarreal,1.56,1.38,1.59,1159.0
Juventus,1.76,1.1,1.81,1181.0
Borussia Dortmund,2.1,1.28,2.0,1200.0
Real Madrid,2.18,1.09,2.16,1216.0
Marseille,1.86,1.41,1.65,1165.0
Olympiakos Piraeus,1.0,1.6,1.2,1120.0
Slavia Praha,1.81,1.08,1.97,1197.0
Liverpool,1.73,1.25,1.66,1166.0
Atletico Madrid,1.89,1.29,1.78,1178.0
Paris Saint Germain,2.41,0.98,2.27,1227.0
Atalanta,1.36,1.16,1.57,1157.0
Bayern München,3.49,1.0,2.66,1266.0
Chelsea,1.71,1.4,1.52,1152.0
Ajax,1.71,1.53,1.5,1150.0
Inter,2.19,0.98,2.14,1214.0
Bayer Leverkusen,1.83,1.37,1.68,1168.0
Monaco,1.59,1.59,1.54,1154.0
Newcastle,1.68,1.48,1.43,1143.0
Barcelona,2.7,1.16,2.37,1237.0
Manchester City,1.93,1.02,1.95,1195.0
Napoli,1.43,1.15,1.85,1185.0
Eintracht Frankfurt,1.73,2.03,1.24,1124.0
Galatasaray,2.05,1.02,2.05,1205.0
Sporting CP,2.38,0.8,2.27,1228.0
Sabah FA,1.83,1.67,1.17,1117.0
Celje,1.89,1.5,1.83,1183.0
AEK Larnaca,1.12,0.94,1.44,1144.0
FK Partizan,1.67,0.83,2.0,1200.0
Sheriff Tiraspol,1.33,2.17,0.67,1067.0
Paks,0.67,1.33,1.33,1133.0
CFR 1907 Cluj,1.0,1.38,1.38,1138.0
Levski Sofia,0.5,0.88,1.12,1112.0
Shakhtar Donetsk,1.88,0.71,2.06,1206.0
Spartak Trnava,1.72,1.34,1.69,1169.0
BK Hacken,1.39,1.5,1.2,1120.0
Legia Warszawa,1.57,1.43,1.64,1164.0
Utrecht,1.55,1.25,1.39,1139.0
Baník Ostrava,0.97,1.56,0.79,1079.0
FC Midtjylland,2.31,0.98,2.12,1212.0
Hibernian,1.67,1.83,0.83,1083.0
SC Braga,1.89,0.82,1.98,1198.0
Beşiktaş,1.8,1.29,1.77,1177.0
Anderlecht,1.45,1.32,1.45,1145.0
FC Lugano,1.46,1.24,1.65,1165.0
PAOK,1.71,1.29,1.36,1136.0
Wolfsberger AC,1.21,1.41,1.07,1107.0
Sigma Olomouc,1.02,1.23,1.3,1130.0
Samsunspor,1.27,1.2,1.44,1144.0
BSC Young Boys,1.84,1.81,1.47,1147.0
Genk,1.59,1.46,1.57,1157.0
Aberdeen,0.62,2.38,0.38,1038.0
AS Roma,1.48,0.93,1.76,1176.0
SC Freiburg,1.5,1.32,1.57,1158.0
Real Betis,1.5,1.12,1.6,1160.0
Nottingham Forest,1.2,1.24,1.2,1120.0
Dinamo Zagreb,1.6,2.2,1.1,1110.0
Lille,1.51,1.15,1.66,1166.0
