fixture_id,home_odds,draw_odds,away_odds,league_id,league_name,season
1379279,1.41,4.45,7.50,39,Premier_League,2025
1379280,2.20,3.30,3.20,39,Premier_League,2025
1379281,4.60,3.75,1.70,39,Premier_League,2025
1379282,2.90,3.85,2.15,39,Premier_League,2025
1379283,2.70,3.50,2.42,39,Premier_League,2025
1379284,1.58,4.20,5.10,39,Premier_League,2025
1379285,1.58,3.95,5.40,39,Premier_League,2025
1379286,2.62,3.30,2.62,39,Premier_League,2025
1379287,2.60,3.35,2.60,39,Premier_League,2025
1379288,1.81,3.65,4.10,39,Premier_League,2025
1387948,1.27,5.50,10.00,61,Ligue_1,2025
1387949,1.94,3.40,3.85,61,Ligue_1,2025
1387942,3.05,3.30,2.28,61,Ligue_1,2025
1387944,2.95,3.35,2.32,61,Ligue_1,2025
1387946,2.84,3.20,2.46,61,Ligue_1,2025
1387945,2.34,3.20,3.05,61,Ligue_1,2025
1387943,2.35,3.10,3.15,61,Ligue_1,2025
1387941,5.10,3.95,1.62,61,Ligue_1,2025
1387947,2.06,3.70,3.20,61,Ligue_1,2025
1387950,2.10,3.15,3.60,61,Ligue_1,2025
1391115,1.71,3.75,4.55,140,La_Liga,2025
1391116,1.59,4.00,5.30,140,La_Liga,2025
1391114,5.40,4.20,1.54,140,La_Liga,2025
1391111,1.76,3.75,4.30,140,La_Liga,2025
1391110,3.05,4.00,2.02,140,La_Liga,2025
1391112,2.95,2.84,2.65,140,La_Liga,2025
1391118,2.30,3.20,3.10,140,La_Liga,2025
1391117,2.75,2.92,2.75,140,La_Liga,2025
1391109,2.60,3.10,2.76,140,La_Liga,2025
1391113,3.05,3.40,2.25,140,La_Liga,2025
1378171,2.06,2.96,4.00,135,Serie_A,2025
1378173,4.10,3.05,2.00,135,Serie_A,2025
1378167,1.90,3.20,4.33,135,Serie_A,2025
1378164,3.25,3.25,2.20,135,Serie_A,2025
1378170,3.35,2.94,2.34,135,Serie_A,2025
1378165,1.57,3.80,6.00,135,Serie_A,2025
1378172,4.90,3.65,1.69,135,Serie_A,2025
1378168,4.85,3.50,1.73,135,Serie_A,2025
1378166,1.35,4.45,9.40,135,Serie_A,2025
1378169,2.42,2.96,3.15,135,Serie_A,2025
1388554,5.80,4.90,1.44,78,Bundesliga,2025
1388555,2.46,3.35,2.74,78,Bundesliga,2025
1388552,1.57,4.20,5.10,78,Bundesliga,2025
1388556,1.80,3.80,4.00,78,Bundesliga,2025
1388559,3.45,3.90,1.90,78,Bundesliga,2025
1388551,1.42,4.65,6.75,78,Bundesliga,2025
1388557,2.28,3.80,2.72,78,Bundesliga,2025
1388558,2.22,3.05,3.40,78,Bundesliga,2025
1388553,1.90,3.65,3.70,78,Bundesliga,2025
1388560,3.10,3.70,2.10,78,Bundesliga,2025
1469688,2.34,4.10,2.50,188,Australia,2025
1469691,2.66,3.60,2.40,188,Australia,2025
1469689,2.48,3.80,2.48,188,Australia,2025
1469692,1.90,3.75,3.60,188,Australia,2025
1469690,2.52,3.65,2.52,188,Australia,2025
1469693,1.48,4.65,5.50,188,Australia,2025
1469696,2.06,4.20,2.90,188,Australia,2025
1469695,2.02,3.70,3.30,188,Australia,2025
1469694,2.54,3.55,2.54,188,Australia,2025
1469654,1.41,4.60,7.00,188,Australia,2025
