team,position,points,goals_for,goals_against,league_id,league_name,season
Arsenal,1,70,61,22,39,Premier_League,2025
Manchester City,2,61,60,28,39,Premier_League,2025
Manchester United,3,55,56,43,39,Premier_League,2025
Aston Villa,4,54,42,37,39,Premier_League,2025
Liverpool,5,49,50,42,39,Premier_League,2025
Chelsea,6,48,53,38,39,Premier_League,2025
Brentford,7,46,46,42,39,Premier_League,2025
Everton,8,46,37,35,39,Premier_League,2025
Fulham,9,44,43,44,39,Premier_League,2025
Brighton,10,43,41,37,39,Premier_League,2025
Sunderland,11,43,32,36,39,Premier_League,2025
Newcastle,12,42,44,45,39,Premier_League,2025
Bournemouth,13,42,46,48,39,Premier_League,2025
Crystal Palace,14,39,33,35,39,Premier_League,2025
Leeds,15,33,37,48,39,Premier_League,2025
Nottingham Forest,16,32,31,43,39,Premier_League,2025
Tottenham,17,30,40,50,39,Premier_League,2025
West Ham,18,29,36,57,39,Premier_League,2025
Burnley,19,20,33,61,39,Premier_League,2025
Wolves,20,17,24,54,39,Premier_League,2025
Paris Saint Germain,1,63,61,23,61,Ligue_1,2025
Lens,2,59,54,27,61,Ligue_1,2025
Marseille,3,50,54,35,61,Ligue_1,2025
Lille,4,50,45,34,61,Ligue_1,2025
Lyon,5,48,41,29,61,Ligue_1,2025
Monaco,6,47,47,38,61,Ligue_1,2025
Rennes,7,47,47,40,61,Ligue_1,2025
Strasbourg,8,43,46,34,61,Ligue_1,2025
Lorient,9,38,38,42,61,Ligue_1,2025
Toulouse,10,37,39,35,61,Ligue_1,2025
Stade Brestois 29,11,36,37,43,61,Ligue_1,2025
Angers,12,33,24,37,61,Ligue_1,2025
Paris FC,13,32,33,44,61,Ligue_1,2025
Le Havre,14,28,23,36,61,Ligue_1,2025
Nice,15,27,33,55,61,Ligue_1,2025
Auxerre,16,23,23,37,61,Ligue_1,2025
Nantes,17,18,24,45,61,Ligue_1,2025
Metz,18,15,25,60,61,Ligue_1,2025
Barcelona,1,76,80,29,140,La_Liga,2025
Real Madrid,2,69,64,28,140,La_Liga,2025
Villarreal,3,58,54,34,140,La_Liga,2025
Atletico Madrid,4,57,50,30,140,La_Liga,2025
Real Betis,5,45,44,37,140,La_Liga,2025
Celta Vigo,6,44,44,37,140,La_Liga,2025
Real Sociedad,7,41,46,45,140,La_Liga,2025
Getafe,8,41,27,31,140,La_Liga,2025
Osasuna,9,38,36,37,140,La_Liga,2025
Espanyol,10,38,36,44,140,La_Liga,2025
Athletic Club,11,38,32,43,140,La_Liga,2025
Rayo Vallecano,12,35,29,35,140,La_Liga,2025
Valencia,13,35,34,45,140,La_Liga,2025
Girona,14,34,31,44,140,La_Liga,2025
Alaves,15,32,32,43,140,La_Liga,2025
Mallorca,16,31,36,48,140,La_Liga,2025
Sevilla,17,31,37,50,140,La_Liga,2025
Elche,18,29,38,47,140,La_Liga,2025
Levante,19,26,34,50,140,La_Liga,2025
Oviedo,20,24,21,48,140,La_Liga,2025
Inter,1,72,71,26,135,Serie_A,2025
AC Milan,2,63,47,23,135,Serie_A,2025
Napoli,3,62,46,30,135,Serie_A,2025
Como,4,57,53,22,135,Serie_A,2025
Juventus,5,54,52,29,135,Serie_A,2025
AS Roma,6,54,42,28,135,Serie_A,2025
Atalanta,7,50,41,27,135,Serie_A,2025
Bologna,8,45,40,37,135,Serie_A,2025
Lazio,9,44,32,29,135,Serie_A,2025
Sassuolo,10,42,38,41,135,Serie_A,2025
Udinese,11,39,35,42,135,Serie_A,2025
Torino,12,36,35,53,135,Serie_A,2025
Parma,13,35,22,39,135,Serie_A,2025
Genoa,14,33,36,42,135,Serie_A,2025
Fiorentina,15,32,36,44,135,Serie_A,2025
Cagliari,16,30,32,44,135,Serie_A,2025
Cremonese,17,27,26,46,135,Serie_A,2025
Lecce,18,27,21,40,135,Serie_A,2025
Hellas Verona,19,18,22,53,135,Serie_A,2025
Pisa,20,18,23,55,135,Serie_A,2025
Bayern München,1,73,100,27,78,Bundesliga,2025
Borussia Dortmund,2,64,60,28,78,Bundesliga,2025
RB Leipzig,3,53,55,36,78,Bundesliga,2025
VfB Stuttgart,4,53,56,38,78,Bundesliga,2025
1899 Hoffenheim,5,50,55,41,78,Bundesliga,2025
Bayer Leverkusen,6,49,58,39,78,Bundesliga,2025
Eintracht Frankfurt,7,39,52,53,78,Bundesliga,2025
SC Freiburg,8,37,41,47,78,Bundesliga,2025
FSV Mainz 05,9,33,35,43,78,Bundesliga,2025
Union Berlin,10,32,32,47,78,Bundesliga,2025
FC Augsburg,11,32,34,51,78,Bundesliga,2025
Hamburger SV,12,31,32,41,78,Bundesliga,2025
Borussia Mönchengladbach,13,30,35,48,78,Bundesliga,2025
Werder Bremen,14,28,31,49,78,Bundesliga,2025
1. FC Köln,15,27,40,49,78,Bundesliga,2025
FC St. Pauli,16,25,25,45,78,Bundesliga,2025
VfL Wolfsburg,17,21,38,63,78,Bundesliga,2025
1. FC Heidenheim,18,16,29,63,78,Bundesliga,2025
Flamengo,1,79,78,27,71,Brazil,2025
