HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,Over25,BTTS,Result
Rotherham,Peterboro,0,2,2.95,3.3,2.2,9,20,3,7,5,5,0,0,0
Brentford,Tottenham,0,0,2.1,3.6,3.2,7,9,2,3,3,1,0,0,1
Sunderland,Man City,0,0,7.5,4.75,1.38,10,14,4,4,3,5,0,0,1
Blackburn,Wrexham,0,2,2.05,3.5,3.5,12,7,1,3,4,8,0,0,0
Bristol City,Portsmouth,5,0,1.66,3.7,4.75,14,5,7,2,1,1,1,0,2
Charlton,Coventry,1,1,3.9,3.5,1.86,15,20,3,7,9,3,0,1,1
Derby,Middlesbrough,1,0,3.05,3.25,2.25,7,19,3,5,4,9,0,0,2
Hull,Stoke,0,1,2.32,3.2,3.05,15,12,1,6,6,6,0,0,0
Ipswich,Oxford,2,1,1.3,4.75,11.0,19,8,6,1,9,2,1,1,2
Preston,Sheffield Weds,3,0,1.46,4.0,7.0,12,6,7,1,4,7,1,0,2
QPR,Norwich,1,2,2.1,3.4,3.4,10,11,2,5,7,3,1,1,0
Southampton,Millwall,0,0,1.71,3.6,4.5,12,12,2,3,6,6,0,0,1
Liverpool,Leeds,0,0,1.55,4.5,5.5,19,4,4,2,8,3,0,0,1
Watford,Birmingham,3,0,2.3,3.25,2.95,13,6,6,2,4,4,1,0,2
Sheffield United,Leicester,3,1,1.76,3.6,4.33,13,6,5,1,7,3,1,1,2
Wycombe,Cardiff,1,1,2.65,3.25,2.5,9,17,2,6,2,2,0,1,1
Swansea,West Brom,1,0,2.7,3.2,2.55,13,12,3,7,4,5,0,0,2
Crystal Palace,Fulham,1,1,2.15,3.3,3.4,11,17,2,5,6,3,0,1,1
Reading,Burton,2,0,1.91,3.3,3.8,19,6,4,2,5,3,0,0,2
Doncaster,Bolton,1,1,3.8,3.6,1.81,13,11,6,1,3,3,0,1,1
Stevenage,Plymouth,1,1,1.91,3.3,3.9,10,9,3,2,6,5,0,1,1
Port Vale,Blackpool,5,1,2.55,3.05,2.65,17,2,6,1,5,2,1,1,2
Northampton,Stockport,0,0,3.5,3.3,2.01,11,5,5,1,5,5,0,0,1
Mansfield,Bradford,3,0,3.4,3.05,2.1,15,11,8,2,2,4,1,0,2
Exeter,Luton,1,0,3.4,3.6,1.96,16,7,5,0,6,1,0,0,2
Lincoln,Huddersfield,1,1,2.4,3.05,2.82,17,6,4,3,4,3,0,1,1
Wigan,Barnsley,1,1,2.05,3.25,3.4,14,8,4,3,8,6,0,1,1
Leyton Orient,AFC Wimbledon,1,3,1.86,3.3,4.0,5,10,2,5,3,6,1,1,0
Torino,Lecce,1,0,1.95,3.1,4.5,17,14,5,2,3,8,0,0,2
Como,Atalanta,0,0,2.35,3.25,3.2,28,6,9,2,7,1,0,0,1
Cremonese,Inter,0,2,11.0,5.0,1.3,9,15,3,4,1,6,0,0,0
Parma,Juventus,1,4,7.5,4.33,1.45,10,15,4,8,5,3,1,1,0
Sp Lisbon,Nacional,2,1,1.1,8.0,19.0,16,6,7,4,11,0,1,1,2
